,Thickness_Max
1,11.691313743591309
2,11.95920467376709
3,10.34969711303711
4,8.422321319580078
5,7.93081521987915
6,7.852296829223633
7,7.795089244842529
8,9.590045928955078
9,9.746648788452148
10,9.340827941894531
11,7.994994640350342
12,7.694470405578613
13,6.720396518707275
14,8.100170135498047
15,7.360282897949219
16,7.617245197296143
Global,11.95920467376709
