,Thickness
1,8.199609756469727
2,6.028050899505615
3,6.7159318923950195
4,7.602407932281494
5,7.355290412902832
6,7.037834167480469
7,6.907204627990723
8,7.599704742431641
9,8.984371185302734
10,7.664953708648682
11,7.136796951293945
12,6.794840335845947
13,5.6751790046691895
14,6.21083402633667
15,5.234919548034668
16,6.072007179260254
Global,6.95388126373291
