,Thickness
1,6.940056800842285
2,5.173759937286377
3,4.893848419189453
4,5.671046257019043
5,6.063897609710693
6,5.648297309875488
7,5.417109489440918
8,5.576400279998779
9,5.826197624206543
10,5.538200378417969
11,5.345714569091797
12,5.261636257171631
13,5.200944423675537
14,5.0356340408325195
15,4.506179332733154
16,4.6799726486206055
Global,5.467899322509766
