,Thickness
1,8.808775901794434
2,6.5283074378967285
3,7.594311714172363
4,7.819041728973389
5,7.6263861656188965
6,8.289512634277344
7,6.739994049072266
8,7.666622161865234
9,7.685601711273193
10,7.073055267333984
11,7.361535549163818
12,6.871388912200928
13,6.046180725097656
14,5.792766571044922
15,5.811070919036865
16,6.1071929931640625
Global,7.099318981170654
